State,Jan,Feb,March,April,May,June
Alabama,3.8,3.7,3.7,3.8,3.7,3.5
Alaska,6.5,6.5,6.5,6.5,6.4,6.4
Arizona,4.9,5.1,5,4.9,4.9,4.9
Arkansas,3.7,3.7,3.7,3.6,3.6,3.5
California,4.2,4.2,4.3,4.3,4.2,4.2
Colorado,3.7,3.7,3.5,3.4,3.2,3
Connecticut,3.8,3.8,3.9,3.8,3.8,3.7
Delaware,3.5,3.4,3.3,3.2,3.2,3.2
District of Columbia,5.4,5.5,5.6,5.6,5.7,5.6
Florida,3.4,3.5,3.5,3.4,3.4,3.4
Georgia,3.8,3.9,3.9,3.8,3.8,3.7
Hawaii,2.7,2.7,2.8,2.8,2.8,2.8
Idaho,2.8,2.9,2.9,2.8,2.8,2.8
Illinois,4.3,4.3,4.4,4.4,4.4,4.3
Indiana,3.5,3.5,3.6,3.6,3.6,3.5
Iowa,2.4,2.4,2.4,2.4,2.4,2.4
Kansas,3.4,3.4,2.5,3.5,3.5,3.4
Kentucky,4.2,4.1,4,4,4,4.1
Louisiana,4.9,4.9,4.7,4.5,4.4,4.3
Maine,3.5,3.4,3.4,3.3,3.3,3.2
Maryland,3.7,3.7,3.8,3.8,3.8,3.8
Massachusetts,3.1,3,3,2.9,3,3
Michigan,4,4,4,4.1,4.2,4.2
Minnesota,3,3.1,3.2,3.3,3.3,3.3
Mississippi,4.7,4.8,4.9,4.9,5,5
Missouri,3.2,3.2,3.3,3.3,3.3,3.3
Montana,3.8,3.8,3.7,3.6,3.6,3.5
Nebraska,2.8,2.8,2.8,2.9,3,3
Nevada,4.4,4.3,4.2,4,4,4
New Hampshire,2.4,2.4,2.4,2.4,2.4,2.5
New Jersey,4,4,4.1,3.9,3.8,3.5
New Mexico,5.1,5.1,5.1,5,5,4.9
New York,3.9,3.9,4,3.9,4,4
North Carolina,3.8,3.9,4,4,4.1,4.1
North Dakota,2.5,2.4,2.3,2.3,2.3,2.3
Ohio,4.7,4.6,4.4,4.3,4.1,4
Oklahoma,3.2,3.3,3.3,3.3,3.2,3.2
Oregon,4.3,4.4,4.4,3.8,4.2,4.1
Pennsylvania,4.1,4,3.9,3.8,3.8,3.8
Rhode Island,4,3.9,3.8,3.7,3.6,3.6
South Carolina,3.2,3.2,3.2,3.4,3.5,3.5
South Dakota,2.9,2.9,2.8,2.8,2.9,2.9
Tennessee,3.3,3.2,3.2,3.2,3.3,3.4
Texas,3.8,3.8,3.8,3.7,3.5,3.4
Utah,3.1,3,3,2.9,2.9,2.8
Vermont,2.5,2.4,2.3,2.2,2.1,2.1
Virginia,2.8,2.9,2.9,2.9,3,2.9
Washington,4.5,4.5,4.6,4.7,4.7,4.6
West Virginia,5.2,5.2,5.1,4.9,4.8,4.7
Wisconsin,3,2.9,2.9,2.8,2.8,2.9
Wyoming,4,3.9,3.7,3.6,3.5,3.5